年,放送期間,タイトル
,7月3日 - 9月25日,ミス・モノクローム -The Animation- 2
,7月3日 - 9月25日,うーさーのその日暮らし 夢幻編
,7月3日 - 9月25日,わかば*ガール
,7月4日 - 9月19日,GATE 自衛隊 彼の地にて、斯く戦えり（第1期）
,7月4日 - 9月26日,Classroom☆Crisis
,7月4日 - 9月26日,戦姫絶唱シンフォギアGX
,7月4日 - 9月26日,デュラララ!!×2 転
,7月5日 - 9月27日,Charlotte
,7月5日 - 12月26日,WORKING!!!
,7月5日 - 9月27日,ガッチャマン クラウズ インサイト
,7月6日 - 10月1日,キュートランスフォーマー さらなる人気者への道
,7月7日 - 9月22日,てーきゅう（第5期）
,7月7日 - 9月22日,のんのんびより りぴーと
,7月7日 - 9月29日,それが声優!
,7月8日 - 9月23日,洲崎西 THE ANIMATION
,7月9日 - 9月24日,がっこうぐらし!
,7月18日 - 10月17日,アイドルマスター シンデレラガールズ（第2期）
,10月2日 - 12月18日,ヤング ブラック・ジャック
,10月2日 - 12月25日,ミス・モノクローム -The Animation- 3
,10月2日 - 12月25日,ハッカドール THE あにめ?しょん
,10月2日 - 12月25日,影鰐-KAGEWANI-
,10月3日 - 2016年3月26日,ヘヴィーオブジェクト
,10月4日 - 2016年3月27日,機動戦士ガンダム 鉄血のオルフェンズ（第1期）
,10月5日 - 12月21日,ワンパンマン
,10月6日 - 2016年3月29日,JKめし!
,10月6日 - 12月22日,てーきゅう（第6期）
,10月6日 - 2016年3月29日,おそ松さん（第1期）
,10月6日 - 12月22日,ゆるゆり さん☆ハイ!
,10月6日 - 12月22日,緋弾のアリアAA
,10月9日 - 12月18日,すべてがFになる THE PERFECT INSIDER
,10月10日 - 12月26日,ご注文はうさぎですか??
2016,1月8日 - 3月25日,僕だけがいない街
,1月8日 - 4月1日,だがしかし
,1月9日 - 3月26日,デュラララ!!×2 結
,1月11日 - 3月28日,シュヴァルツェスマーケン
,1月12日 - 3月29日,てーきゅう（第7期）
,1月14日 - 3月17日,この素晴らしい世界に祝福を!
,4月3日 - 9月11日,機動戦士ガンダムUC RE:0096
,4月3日 - 9月25日,マクロスΔ
,4月4日 - 9月19日,Re:ゼロから始める異世界生活
,4月5日 - 6月21日,ばくおん!!
,4月7日 - 9月29日,クロムクロ
,4月8日 - 7月1日,甲鉄城のカバネリ
,4月10日 - 6月26日,ハイスクール・フリート
,4月11日 - 6月27日,三者三葉
,7月2日 - 9月24日,ReLIFE
,7月2日 - 9月24日,ラブライブ!サンシャイン!!（第1期）
,7月3日 - 8月21日,アルスラーン戦記 ?風塵乱舞?
,7月4日 - 9月19日,NEW GAME!
,7月15日 - 9月23日,バッテリー
,10月1日 - 12月17日,終末のイゼッタ
,10月2日 - 12月18日,魔法少女育成計画
,10月2日 - 2017年4月2日,機動戦士ガンダム 鉄血のオルフェンズ（第2期）
,10月4日 - 12月20日,灼熱の卓球娘
,10月5日 - 12月21日,てーきゅう（第8期）
,10月6日 - 12月29日,響け! ユーフォニアム2
,10月6日 - 12月29日,ブレイブウィッチーズ
,10月6日 - 12月22日,ユーリ!!! on ICE
,10月8日 - 12月24日,Lostorage incited WIXOSS
,10月8日 - 2017年2月5日,ろんぐらいだぁす!
,10月8日 - 2017年3月18日,3月のライオン（第1期）
2017,1月6日 - 3月31日,幼女戦記
,1月11日 - 3月29日,けものフレンズ
,1月12日 - 3月16日,この素晴らしい世界に祝福を!2
,1月13日 - 3月31日,クズの本懐
,4月1日 - 6月17日,進撃の巨人 Season 2
,4月4日 - 6月20日,フレームアームズ・ガール
,4月6日 - 9月21日,サクラクエスト
,4月9日 - 6月25日,エロマンガ先生
,4月9日 - 6月25日,ID-0
,7月2日 - 10月1日,戦姫絶唱シンフォギアAXZ
,7月2日 - 9月24日,ナイツ&マジック
,7月11日 - 9月26日,NEW GAME!!
,7月12日 - 9月27日,てーきゅう（第9期）
,10月5日 - 12月28日,Just Because!
,10月10日 - 2018年1月8日,"Wake Up,Girls! 新章"
2018,1月4日 - 3月22日,ゆるキャン△
,1月7日 - 3月25日,ポプテピピック
,4月3日 -,ガンダムビルドダイバーズ
,4月3日 - 6月26日,銀河英雄伝説 Die Neue These 邂逅
,4月7日 - 6月23日,Lostorage conflated WIXOSS
,4月8日 - 7月1日,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン
,4月9日 -,ピアノの森
,4月9日 - 6月25日,ゴールデンカムイ
,4月12日 -,STEINS;GATE 0
,4月13日 - 6月29日,ひそねとまそたん
,4月13日 -,フルメタル・パニック! Invisible Victory
,7月3日 -,ヤマノススメ サードシーズン
